   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 529,           786,             259,              0,      2479,           0,          0
 530,           788,             260,              0,      2473,           0,       8503
 531,           789,             260,              0,      2476,           0,          0
 532,           790,             260,              0,      2492,           0,       8122
 533,           791,             260,              0,      2496,           0,       8316
 534,           792,             260,              0,      2490,           0,          0
 535,           793,             260,           8165,      2509,           0,          0
 536,           795,             261,              0,      2504,           0,          0
 537,           798,             263,           9803,      2511,           0,       8021
 538,           799,             263,              0,      2516,           0,          0
 539,           800,             263,           8283,      2521,           0,       8020
 540,           801,             263,              0,      2515,           0,       7639
 541,           802,             263,              0,      2524,           0,          0
 542,           803,             263,              0,      2533,           0,       8181
 543,           804,             263,           7744,      2547,           0,          0
 544,           805,             263,              0,      2540,           0,          0
 545,           806,             263,              0,      2541,           0,      15874
 546,           807,             263,              0,      2550,           0,          0
 547,           809,             264,              0,      2564,           0,       8318
 548,           812,             266,            997,      2553,           0,          0
 549,           816,             269,              0,      2562,           0,       6519
 550,           821,             273,              0,      2578,           0,          0
 551,           822,             273,              0,      2580,           0,          0
 552,           823,             273,            132,      2566,           0,          0
 553,           824,             273,              0,      2570,           0,       8487
 554,           825,             273,              0,      2579,           0,       8157
 555,           827,             274,              0,      2583,           0,       8539
 556,           828,             274,              0,      2595,           0,          0
 557,           829,             274,              0,      2598,           0,       8018
 558,           833,             277,              0,      2611,           0,          0
 559,           834,             277,              0,      2612,           0,       8589
 560,           835,             277,              0,      2622,           0,          0
 561,           836,             277,              0,      2622,           0,       9175
 562,           837,             277,           6527,      2620,           0,        835
 563,           838,             277,              0,      2623,           0,          0
 564,           839,             277,              0,      2633,           0,       8160
 565,           840,             277,              0,      2643,           0,       8486
 566,           841,             277,              0,      2641,           0,          0
 567,           842,             277,              0,      2645,           0,       9104
 568,           843,             277,              0,      2644,           0,          0
 569,           845,             278,           7492,      2650,           0,          0
 570,           846,             278,              0,      2667,           0,          0
 571,           847,             278,           8387,      2676,           0,        998
 572,           848,             278,            842,      2678,           0,          0
 573,           849,             278,              0,      2690,           0,          0
 574,           850,             278,           8253,      2688,           0,       1995
 575,           851,             278,              0,      2693,           0,       6460
 576,           853,             279,              0,      2702,           0,          0
 577,           855,             280,           8019,      2705,           0,          0
 578,           858,             282,              0,      2706,           0,       8525
 579,           859,             282,              0,      2714,           0,          0
 580,           860,             282,              0,      2730,           0,       8158
 581,           861,             282,              0,      2732,           0,          0
 582,           863,             283,              0,      2720,           0,       8610
 583,           864,             283,              0,      2723,           0,          0
 584,           865,             283,              0,      2726,           0,       8153
 585,           866,             283,              0,      2729,           0,          0
 586,           869,             285,              0,      2730,           0,       8492
 587,           870,             285,              0,      2747,           0,          0
 588,           871,             285,              0,      2757,           0,       8018
 589,           872,             285,              0,      2762,           0,          0
 590,           875,             287,           8640,      2761,           0,       9356
 591,           876,             287,              0,      2771,           0,          0
 592,           877,             287,              0,      2774,           0,       7345
 593,           878,             287,              0,      2775,           0,          0
 594,           880,             288,              0,      2784,           0,          0
 595,           882,             289,              0,      2792,           0,       8438
 596,           883,             289,              0,      2793,           0,          0
 597,           884,             289,              0,      2808,           0,       8031
 598,           885,             289,              0,      2805,           0,          0
 599,           886,             289,              0,      2818,           0,       9745
 600,           887,             289,              0,      2819,           0,        980
 601,           888,             289,           6652,      2822,           0,          0
 602,           890,             290,              0,      2816,           0,          0
 603,           892,             291,              0,      2827,           0,       1355
 604,           896,             294,           3646,      2845,           0,        998
 605,           897,             294,              0,      2850,           0,          0
 606,           898,             294,           9181,      2846,           0,          0
 607,           899,             294,              0,      2844,           0,       8136
 608,           900,             294,           8179,      2863,           0,      10305
 609,           902,             295,              0,      2866,           0,      13003
 610,           903,             295,              0,      2857,           0,      16829
 611,           904,             295,              0,      2861,           0,       8209
 612,           906,             296,              0,      2883,           0,          0
 613,           907,             296,            819,      2885,           0,          0
 614,           908,             296,              0,      2885,           0,          0
 615,           909,             296,           8147,      2884,           0,          0
 616,           910,             296,              0,      2905,           0,       8534
 617,           912,             297,              0,      2904,           0,          0
 618,           913,             297,              0,      2905,           0,          0
 619,           914,             297,              0,      2910,           0,       7701
 620,           915,             297,              0,      2930,           0,       8172
 621,           917,             298,              0,      2931,           0,       8612
 622,           918,             298,              0,      2930,           0,          0
 623,           919,             298,              0,      2942,           0,       8161
 624,           921,             299,              0,      2961,           0,          0
 625,           922,             299,              0,      2966,           0,       5103
 626,           925,             301,              0,      2979,           0,          0
 627,           929,             304,           8325,      2967,           0,        997
 628,           930,             304,              0,      2968,           0,          0
 629,           931,             304,              0,      2971,           0,          0
 630,           933,             305,              0,      2998,           0,       7834
 631,           934,             305,              0,      3003,           0,          0
 632,           936,             306,              0,      2986,           0,       8215
 633,           937,             306,              0,      3000,           0,       8421
 634,           938,             306,            998,      3005,           0,          0
 635,           940,             307,              0,      3009,           0,          0
 636,           941,             307,           1378,      3023,           0,      11958
 637,           945,             310,              0,      3025,           0,          0
 638,           948,             312,           1741,      3043,           0,        998
 639,           949,             312,              0,      3044,           0,          0
 640,           950,             312,           8119,      3066,           0,       6823
 641,           951,             312,              0,      3068,           0,          0
 642,           953,             313,              0,      3074,           0,       9324
 643,           954,             313,              0,      3071,           0,       4803
 644,           955,             313,           8026,      3064,           0,       7635
 645,           956,             313,              0,      3064,           0,       7492
 646,           958,             314,              0,      3076,           0,          0
 647,           959,             314,              0,      3088,           0,       8987
 648,           962,             316,              0,      3078,           0,          0
 649,           967,             320,              0,      3089,           0,          0
 650,           968,             320,              0,      3093,           0,       7502
 651,           969,             320,              0,      3094,           0,          0
 652,           971,             321,              0,      3109,           0,       9234
 653,           972,             321,              0,      3110,           0,          0
 654,           973,             321,           1144,      3115,           0,          0
 655,           975,             322,              0,      3116,           0,       8139
 656,           976,             322,              0,      3133,           0,          0
 657,           977,             322,              0,      3135,           0,      10399
 658,           979,             323,           8196,      3137,           0,          0
 659,           980,             323,           5439,      3140,           0,          0
 660,           984,             326,              0,      3153,           0,       8329
 661,           986,             327,              0,      3157,           0,      10048
 662,           987,             327,              0,      3144,           0,          0
