    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  349,         30864,           30526,          28025,      2506,         348,       3002
  350,         31193,           30854,          28025,      2530,         349,       2001
  351,         31417,           31077,          28024,      2541,         350,       2002
  352,         31737,           31396,          29026,      2530,         351,       2002
  353,         31919,           31577,          29026,      2544,         352,       2001
  354,         31952,           31609,          29026,      2559,         353,       2002
  355,         32121,           31777,          30027,      2572,         354,       3002
  356,         32447,           32102,          29026,      2590,         355,       3002
  357,         32633,           32287,          29026,      2598,         356,       3002
  358,         32640,           32293,          29026,      2607,         357,       2001
  359,         32932,           32584,          30027,      2619,         358,       2001
  360,         33254,           32905,          30027,      2632,         359,       2001
  361,         33367,           33017,          30028,      2633,         360,       2001
  362,         33666,           33315,          33030,      2647,         361,       3002
  363,         33849,           33497,          30027,      2651,         362,       2002
  364,         33871,           33518,          33029,      2659,         363,       2002
  365,         34094,           33740,          31028,      2668,         364,       2002
  366,         34290,           33935,          33029,      2675,         365,       3002
  367,         34616,           34260,          33030,      2683,         366,       3002
  368,         34659,           34302,          31028,      2686,         367,       2002
  369,         34694,           34336,          33029,      2693,         368,       2001
  370,         34920,           34561,          34031,      2713,         369,       3002
  371,         34949,           34589,          36032,      2728,         370,       3002
  372,         35123,           34762,          32028,      2719,         371,       3002
  373,         35376,           35014,          35032,      2724,         372,       3002
  374,         35666,           35303,          32029,      2737,         373,       3002
  375,         35707,           35343,          32029,      2748,         374,       3002
  376,         35745,           35380,          34031,      2753,         375,       3003
  377,         35774,           35408,          33029,      2767,         376,       2002
  378,         35821,           35454,          33029,      2772,         377,       3002
  379,         36141,           35773,          33029,      2772,         378,       2002
  380,         36425,           36056,          36032,      2792,         379,       3002
  381,         36521,           36151,          33029,      2796,         380,       3002
  382,         36709,           36338,          33030,      2805,         381,       3002
  383,         37070,           36698,          34031,      2815,         382,       3002
  384,         37215,           36842,          33029,      2825,         383,       3002
  385,         37496,           37122,          34030,      2834,         384,       3002
  386,         37700,           37325,          34030,      2842,         385,       3002
  387,         37996,           37620,          34030,      2856,         386,       3002
  388,         38226,           37849,          35031,      2873,         387,       2002
  389,         38341,           37963,          35031,      2875,         388,       3002
  390,         38360,           37981,          35032,      2896,         389,       3002
  391,         38560,           38180,          36033,      2919,         390,       2001
  392,         38736,           38355,          35031,      2894,         391,       3002
  393,         38780,           38398,          38034,      2904,         392,       3003
  394,         39110,           38727,          35031,      2923,         393,       3002
  395,         39397,           39013,          37033,      2931,         394,       3002
  396,         39752,           39367,          38034,      2936,         395,       3002
  397,         40059,           39673,          36033,      2949,         396,       2002
  398,         40408,           40021,          40036,      2951,         397,       3002
  399,         40610,           40222,          38034,      2963,         398,       3002
  400,         40984,           40595,          37034,      2981,         399,       3002
  401,         41256,           40866,          39035,      2991,         400,       2001
  402,         41338,           40947,          37033,      2991,         401,       3002
  403,         41373,           40981,          40036,      3006,         402,       3002
  404,         41529,           41136,          39035,      3019,         403,       3002
  405,         41893,           41499,          38034,      3028,         404,       3003
  406,         42003,           41608,          38034,      3024,         405,       3002
  407,         42158,           41762,          38034,      3029,         406,       3002
  408,         42472,           42075,          39035,      3036,         407,       3002
  409,         42490,           42092,          39035,      3055,         408,       3002
  410,         42725,           42326,          41037,      3053,         409,       3002
  411,         42734,           42334,          39035,      3061,         410,       3002
  412,         43036,           42635,          40036,      3086,         411,       3002
  413,         43434,           43032,          39035,      3088,         412,       3002
  414,         43608,           43205,          40036,      3077,         413,       3002
  415,         43767,           43363,          42037,      3086,         414,       3002
  416,         44050,           43645,          41037,      3124,         415,       3002
  417,         44199,           43793,          40036,      3133,         416,       3002
  418,         44349,           43942,          41037,      3130,         417,       3002
  419,         44438,           44030,          43039,      3139,         418,       3002
  420,         44806,           44397,          41037,      3167,         419,       3003
  421,         45055,           44645,          40035,      3169,         420,       2001
  422,         45440,           45029,          41037,      3170,         421,       3002
  423,         45682,           45270,          42038,      3194,         422,       3002
  424,         45895,           45482,          45041,      3185,         423,       4003
  425,         46244,           45830,          42038,      3189,         424,       3002
  426,         46653,           46238,          43039,      3197,         425,       3002
  427,         46915,           46499,          42037,      3205,         426,       3002
  428,         47030,           46613,          43039,      3229,         427,       3002
  429,         47283,           46865,          43038,      3239,         428,       3003
  430,         47532,           47113,          44039,      3249,         429,       3002
  431,         47843,           47423,          47042,      3256,         430,       3002
  432,         48097,           47676,          44039,      3255,         431,       3003
  433,         48140,           47718,          44039,      3262,         432,       3002
  434,         48162,           47739,          46041,      3277,         433,       3002
  435,         48395,           47971,          44040,      3281,         434,       3002
  436,         48489,           48064,          43039,      3283,         435,       3002
  437,         48773,           48347,          44039,      3300,         436,       3002
  438,         49050,           48623,          45041,      3311,         437,       3002
  439,         49179,           48751,          47042,      3317,         438,       3002
  440,         49312,           48883,          45040,      3318,         439,       3002
  441,         49633,           49203,          44040,      3331,         440,       3002
  442,         49906,           49475,          48548,      3344,         441,       3002
  443,         49933,           49501,          45040,      3356,         442,       3002
  444,         50193,           49760,          48044,      3359,         443,       3002
  445,         50601,           50167,          45040,      3372,         444,       3002
  446,         50782,           50347,          46041,      3385,         445,       3002
  447,         51159,           50723,          47042,      3386,         446,       3002
  448,         51308,           50871,          47042,      3410,         447,       3002
  449,         51363,           50925,          49044,      3418,         448,       3002
  450,         51394,           50955,          52047,      3423,         449,       3002
  451,         51401,           50961,          47042,      3427,         450,       3002
  452,         51515,           51074,          49045,      3437,         451,       3002
  453,         51930,           51488,          47042,      3446,         452,       4003
  454,         52176,           51733,          50045,      3461,         453,       5004
  455,         52589,           52145,          54049,      3465,         454,       3002
  456,         52903,           52458,          49044,      3472,         455,       3002
  457,         52988,           52542,          49045,      3483,         456,       3002
  458,         53017,           52570,          48043,      3480,         457,       3002
  459,         53193,           52745,          48043,      3500,         458,       4004
  460,         53480,           53031,          51046,      3520,         459,       4003
  461,         53649,           53199,          49043,      3532,         460,       4003
  462,         53932,           53481,          50045,      3532,         461,       4004
  463,         54034,           53582,          49044,      3539,         462,       3002
  464,         54168,           53715,          51046,      3540,         463,       3002
  465,         54421,           53967,          49044,      3553,         464,       3002
  466,         54542,           54087,          49044,      3552,         465,       3002
  467,         54842,           54386,          50045,      3563,         466,       4003
  468,         54883,           54426,          49551,      3588,         467,       3002
  469,         55089,           54631,          50045,      3604,         468,       4003
  470,         55213,           54754,          51046,      3598,         469,       3003
  471,         55369,           54909,          50045,      3603,         470,       3003
  472,         55444,           54983,          52047,      3603,         471,       4003
  473,         55616,           55154,          52048,      3611,         472,       3002
  474,         56043,           55580,          53048,      3621,         473,       3001
  475,         56442,           55978,          51046,      3641,         474,       4003
  476,         56719,           56254,          52047,      3639,         475,       4004
  477,         56905,           56439,          52046,      3654,         476,       4003
  478,         57219,           56752,          53048,      3663,         477,       3002
  479,         57617,           57149,          52047,      3664,         478,       3002
  480,         58037,           57568,          57052,      3697,         479,       3002
  481,         58372,           57902,          57051,      3704,         480,       3002
  482,         58739,           58268,          55049,      3697,         481,       3002
  483,         59099,           58627,          54049,      3712,         482,       3002
  484,         59246,           58773,          57051,      3724,         483,       4003
  485,         59535,           59061,          55050,      3734,         484,       3002
  486,         59740,           59265,          54048,      3730,         485,       4003
  487,         59798,           59322,          56050,      3748,         486,       3002
  488,         60237,           59760,          60054,      3755,         487,       3002
  489,         60663,           60185,          57052,      3759,         488,       4003
  490,         61055,           60576,          55049,      3772,         489,       3002
