Factors for n=400000000000000
399999999999900 : 2*2*3*5*5*17*71*1657*666667
399999999999901 : 7*577*99034414459
399999999999902 : 2*5849089*34193359
399999999999903 : 3*101*1320132013201
399999999999904 : 2*2*2*2*2*241*379*136852823
399999999999905 : 5*4391*18219084491
399999999999906 : 2*3*3*23*1787*540673517
399999999999907 : 53*3373*4093*546671
399999999999908 : 2*2*7*11*11699*111009599
399999999999909 : 3*133333333333303
399999999999910 : 2*5*67*2551*234031723
399999999999911 : 10937077*36572843
399999999999912 : 2*2*2*3*13*6277*204245863
399999999999913 : 373*1072386058981
399999999999914 : 2*139*1438848920863
399999999999915 : 3*3*5*7*701*1811471141
399999999999916 : 2*2*151*211*3138633439
399999999999917 : 17*19*19*29*29*77501101
399999999999918 : 2*3*2383*27975940691
399999999999919 : 11*31*61*89*659*327869
399999999999920 : 2*2*2*2*5*491*10183299389
399999999999921 : 3*13963*9549046289
399999999999922 : 2*7*28081*1017464783
399999999999923 : 187277*2135873599
399999999999924 : 2*2*3*3*3*127*29163021289
399999999999925 : 5*5*13*13*24337*3890149
399999999999926 : 2*601*148151*2246213
399999999999927 : 3*463*287976961843
399999999999928 : 2*2*2*3617639*13821169
399999999999929 : 7*7*23*1451*244606877
399999999999930 : 2*3*5*11*34841*34790081
399999999999931 : 1031*387972841901
399999999999932 : 2*2*59*179*9468800303
399999999999933 : 3*3*37*73721*16293881
399999999999934 : 2*17*41*286944045911
399999999999935 : 5*79999999999987
399999999999936 : 2*2*2*2*2*2*3*7*19*191*4363*18797
399999999999937 : 47*47*113*307*5219723
399999999999938 : 2*13*15384615384613
399999999999939 : 3*83*25373*63312407
399999999999940 : 2*2*5*19999999999997
399999999999941 : 11*13241*2746290791
399999999999942 : 2*3*3*43*516795865633
399999999999943 : 7*163*631*555577933
399999999999944 : 2*2*2*199*251256281407
399999999999945 : 3*5*1913*13939710751
399999999999946 : 2*29*167*557*74141323
399999999999947 : 21163*18900911969
399999999999948 : 2*2*3*4679*7124029351
399999999999949 : 13807*28970811907
399999999999950 : 2*5*5*7*31*2857*12903871
399999999999951 : 3*3*3*13*17*43573*1538461
399999999999952 : 2*2*2*2*11*23*98814229249
399999999999953 : 399999999999953
399999999999954 : 2*3*384001*173610659
399999999999955 : 5*19*4289*981703501
399999999999956 : 2*2*2460707*40638727
399999999999957 : 3*7*8543*2229617119
399999999999958 : 2*1217*1499*109632113
399999999999959 : 10457*38251888687
399999999999960 : 2*2*2*3*3*5*53*79*265371653
399999999999961 : 149*181*5821*2547989
399999999999962 : 2*73*223*12285766939
399999999999963 : 3*11*107*113282356273
399999999999964 : 2*2*7*13*769231*1428571
399999999999965 : 5*79999999999993
399999999999966 : 2*3*769*2861*30301529
399999999999967 : 399999999999967
399999999999968 : 2*2*2*2*2*17*673*1481*737719
399999999999969 : 3*3*852143*52156087
399999999999970 : 2*5*37*1081081081081
399999999999971 : 7*71*804828973843
399999999999972 : 2*2*3*607*1511*1997*18199
399999999999973 : 399999999999973
399999999999974 : 2*11*19*13229*72336367
399999999999975 : 3*5*5*23*29*41*1999*97561
399999999999976 : 2*2*2*2711*18443378827
399999999999977 : 13*67*2011*228365117
399999999999978 : 2*3*3*3*3*7*7*109*443*521*2003
399999999999979 : 2908747*137516257
399999999999980 : 2*2*5*61*21031*15589789
399999999999981 : 3*31*42197*101928461
399999999999982 : 2*97*2061855670103
399999999999983 : 1770259*225955637
399999999999984 : 2*2*2*2*3*47*35461*4999999
399999999999985 : 5*7*11*17*43*1327*1071053
399999999999986 : 2*337*109597*5415037
399999999999987 : 3*3*2833*15688120171
399999999999988 : 2*2*839*119189511323
399999999999989 : 137*18919*154326763
399999999999990 : 2*3*5*13*1025641025641
399999999999991 : 59*257*1319*20000003
399999999999992 : 2*2*2*7*7142857142857
399999999999993 : 3*19*103*2887*23599409
399999999999994 : 2*199999999999997
399999999999995 : 5*207869*384857771
399999999999996 : 2*2*3*3*11*239*4649*909091
399999999999997 : 399999999999997
399999999999998 : 2*23*8695652173913
399999999999999 : 3*7*952381*19999999
