Run, Sieve Seq, Sieve Par, Factor Seq, Factor Par
0, 7.2745, 6.1617, 56.2377, 10.8545
1, 7.435, 6.2799, 56.25, 11.2261
2, 7.4612, 6.2863, 56.2525, 11.6939
3, 7.5075, 6.3055, 56.3089, 11.7816
4, 7.6029, 6.3096, 56.3614, 12.9443
5, 7.6395, 6.3255, 56.4558, 14.3281
6, 7.9249, 6.4574, 56.5181, 15.8199
7, 12.634, 11.3564, 58.3058, 26.2369
8, 20.9223, 44.6806, 62.0925, 89.9031
