Factors for n=4000000
3999900 : 2*2*3*5*5*67*199
3999901 : 3999901
3999902 : 2*103*19417
3999903 : 3*43*101*307
3999904 : 2*2*2*2*2*239*523
3999905 : 5*7*13*59*149
3999906 : 2*3*3*317*701
3999907 : 23*173909
3999908 : 2*2*11*90907
3999909 : 3*631*2113
3999910 : 2*5*53*7547
3999911 : 233*17167
3999912 : 2*2*2*3*7*29*821
3999913 : 17*235289
3999914 : 2*1999957
3999915 : 3*3*3*5*29629
3999916 : 2*2*999979
3999917 : 3999917
3999918 : 2*3*13*19*2699
3999919 : 7*7*11*41*181
3999920 : 2*2*2*2*5*49999
3999921 : 3*421*3167
3999922 : 2*37*191*283
3999923 : 3999923
3999924 : 2*2*3*3*111109
3999925 : 5*5*193*829
3999926 : 2*7*285709
3999927 : 3*71*89*211
3999928 : 2*2*2*79*6329
3999929 : 3999929
3999930 : 2*3*5*11*17*23*31
3999931 : 13*307687
3999932 : 2*2*999983
3999933 : 3*3*7*173*367
3999934 : 2*179*11173
3999935 : 5*47*17021
3999936 : 2*2*2*2*2*2*3*83*251
3999937 : 19*210523
3999938 : 2*1999969
3999939 : 3*1333313
3999940 : 2*2*5*7*28571
3999941 : 11*29*12539
3999942 : 2*3*3*3*3*24691
3999943 : 229*17467
3999944 : 2*2*2*13*38461
3999945 : 3*5*266663
3999946 : 2*43*46511
3999947 : 7*17*33613
3999948 : 2*2*3*257*1297
3999949 : 3999949
3999950 : 2*5*5*79999
3999951 : 3*3*223*1993
3999952 : 2*2*2*2*11*22727
3999953 : 23*61*2851
3999954 : 2*3*7*131*727
3999955 : 5*799991
3999956 : 2*2*19*52631
3999957 : 3*13*102563
3999958 : 2*1999979
3999959 : 37*108107
3999960 : 2*2*2*3*3*5*41*271
3999961 : 7*31*18433
3999962 : 2*73*27397
3999963 : 3*11*53*2287
3999964 : 2*2*17*59*997
3999965 : 5*799993
3999966 : 2*3*379*1759
3999967 : 67*227*263
3999968 : 2*2*2*2*2*7*7*2551
3999969 : 3*3*3*148147
3999970 : 2*5*13*29*1061
3999971 : 3999971
3999972 : 2*2*3*333331
3999973 : 109*36697
3999974 : 2*11*113*1609
3999975 : 3*5*5*7*19*401
3999976 : 2*2*2*23*21739
3999977 : 1117*3581
3999978 : 2*3*3*359*619
3999979 : 1361*2939
3999980 : 2*2*5*199999
3999981 : 3*17*107*733
3999982 : 2*7*47*6079
3999983 : 13*307691
3999984 : 2*2*2*2*3*167*499
3999985 : 5*11*72727
3999986 : 2*1999993
3999987 : 3*3*444443
3999988 : 2*2*757*1321
3999989 : 7*43*97*137
3999990 : 2*3*5*151*883
3999991 : 1997*2003
3999992 : 2*2*2*31*127*127
3999993 : 3*1333331
3999994 : 2*19*105263
3999995 : 5*799999
3999996 : 2*2*3*3*3*7*11*13*37
3999997 : 877*4561
3999998 : 2*17*71*1657
3999999 : 3*23*29*1999
