Run, Sieve Seq, Sieve Par, Factor Seq, Factor Par
0, 73.2442, 49.8857, 535.8415, 112.6531
1, 73.9426, 50.0295, 536.0352, 114.5935
2, 73.9854, 53.206, 536.2674, 117.5326
3, 75.1493, 53.305, 537.1197, 119.5267
4, 75.1803, 54.7349, 537.1383, 124.2736
5, 80.3027, 55.409, 537.4736, 124.6866
6, 83.8599, 56.1026, 539.1324, 177.6591
7, 88.4167, 57.7988, 541.072, 178.4658
8, 88.804, 125.253, 542.3871, 181.5836
