Run, Sieve Seq, Sieve Par, Factor Seq, Factor Par
0, 13335.7784, 8423.0282, 37802.8467, 7064.2775
1, 13393.1809, 8435.8912, 37814.3965, 7078.6365
2, 13402.8327, 8453.1085, 37829.507, 8056.3201
3, 13430.3001, 8522.2433, 37841.3552, 8058.0986
4, 13487.119, 8528.1592, 37858.8717, 8124.9535
5, 13810.9636, 9042.9775, 37887.5132, 8287.0834
6, 14583.6578, 10602.9792, 37900.1147, 8550.8091
7, 14652.8739, 10642.201, 37909.966, 8652.9616
8, 15369.9405, 10874.8901, 38033.8345, 8996.5775
