Factors for n=400000000
399999900 : 2*2*3*5*5*23*29*1999
399999901 : 7*57142843
399999902 : 2*17*1289*9127
399999903 : 3*167*798403
399999904 : 2*2*2*2*2*53*235849
399999905 : 5*79999981
399999906 : 2*3*3*151*367*401
399999907 : 399999907
399999908 : 2*2*7*11*83*15647
399999909 : 3*89*1217*1231
399999910 : 2*5*79*506329
399999911 : 277*1444043
399999912 : 2*2*2*3*13*1282051
399999913 : 19*19*31*31*1153
399999914 : 2*199999957
399999915 : 3*3*5*7*313*4057
399999916 : 2*2*67*109*13693
399999917 : 2711*147547
399999918 : 2*3*66666653
399999919 : 11*17*107*19991
399999920 : 2*2*2*2*5*4999999
399999921 : 3*133333307
399999922 : 2*7*28571423
399999923 : 23*73*238237
399999924 : 2*2*3*3*3*3703703
399999925 : 5*5*13*1230769
399999926 : 2*199999963
399999927 : 3*133333309
399999928 : 2*2*2*49999991
399999929 : 7*29*331*5953
399999930 : 2*3*5*11*1212121
399999931 : 399999931
399999932 : 2*2*19*43*122399
399999933 : 3*3*37*1201201
399999934 : 2*1117*179051
399999935 : 5*79999987
399999936 : 2*2*2*2*2*2*3*7*7*17*41*61
399999937 : 399999937
399999938 : 2*13*15384613
399999939 : 3*47*2836879
399999940 : 2*2*5*59*257*1319
399999941 : 11*36363631
399999942 : 2*3*3*71*312989
399999943 : 7*6961*8209
399999944 : 2*2*2*31*1612903
399999945 : 3*5*26666663
399999946 : 2*23*8695651
399999947 : 399999947
399999948 : 2*2*3*33333329
399999949 : 399999949
399999950 : 2*5*5*7*199*5743
399999951 : 3*3*3*3*13*19*19993
399999952 : 2*2*2*2*11*2272727
399999953 : 17*4651*5059
399999954 : 2*3*233*359*797
399999955 : 5*409*195599
399999956 : 2*2*99999989
399999957 : 3*7*53*359389
399999958 : 2*29*6896551
399999959 : 399999959
399999960 : 2*2*2*3*3*5*239*4649
399999961 : 829*482509
399999962 : 2*127*839*1877
399999963 : 3*11*12121211
399999964 : 2*2*7*13*769*1429
399999965 : 5*4229*18917
399999966 : 2*3*2011*33151
399999967 : 97*479*8609
399999968 : 2*2*2*2*2*12499999
399999969 : 3*3*23*1932367
399999970 : 2*5*17*19*37*3347
399999971 : 7*57142853
399999972 : 2*2*3*33333331
399999973 : 1741*229753
399999974 : 2*11*18181817
399999975 : 3*5*5*31*43*4001
399999976 : 2*2*2*1181*42337
399999977 : 13*41*467*1607
399999978 : 2*3*3*3*7*373*2837
399999979 : 3343*119653
399999980 : 2*2*5*19999999
399999981 : 3*133333327
399999982 : 2*199999991
399999983 : 67*1721*3469
399999984 : 2*2*2*2*3*1667*4999
399999985 : 5*7*7*11*11*103*131
399999986 : 2*47*647*6577
399999987 : 3*3*17*17*29*5303
399999988 : 2*2*1297*77101
399999989 : 19*79*266489
399999990 : 2*3*5*13*1025641
399999991 : 83*241*19997
399999992 : 2*2*2*7*23*310559
399999993 : 3*11287*11813
399999994 : 2*743*269179
399999995 : 5*1709*46811
399999996 : 2*2*3*3*11*73*101*137
399999997 : 61*587*11171
399999998 : 2*89*1447*1553
399999999 : 3*7*59*113*2857
