2014-02-17;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;54;46;61;10.07;0.00;0
2014-02-18;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;54;48;62;7.61;0.00;1
2014-02-19;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;51;62;14.32;0.01;1
2014-02-20;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;54;45;67;5.82;0.00;0
2014-02-21;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;56;47;69;7.16;0.00;0
2014-02-22;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;55;46;66;8.95;0.00;0
2014-02-23;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;52;46;63;7.61;0.00;0
2014-02-24;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;53;45;71;6.26;0.00;0
2014-02-25;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;56;48;62;6.49;0.00;0
2014-02-26;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;56;54;60;14.99;0.43;1
2014-02-27;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;55;65;10.07;0.05;1
2014-02-28;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;59;54;61;14.76;0.68;0
2014-03-01;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;56;53;63;8.72;0.14;1
2014-03-02;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;56;52;60;6.49;0.03;1
2014-03-03;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;55;50;60;6.93;0.08;0
2014-03-04;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;53;62;3.58;0.00;1
2014-03-05;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;55;68;6.26;0.16;1
2014-03-06;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;59;54;63;7.61;0.00;1
2014-03-07;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;56;49;64;10.51;0.00;0
2014-03-08;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;55;48;67;5.82;0.00;0
2014-03-09;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;62;58;71;5.14;0.00;0
2014-03-10;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;61;55;66;10.96;0.00;1
2014-03-11;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;60;56;69;8.72;0.00;0
2014-03-12;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;63;58;72;17.45;0.00;0
2014-03-13;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;62;53;76;8.50;0.00;0
2014-03-14;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;53;69;9.84;0.00;0
2014-03-15;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;60;51;76;7.61;0.00;0
2014-03-16;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;59;51;68;12.30;0.00;0
2014-03-17;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;52;66;13.87;0.00;0
2014-03-18;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;48;71;5.14;0.00;0
2014-03-19;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;59;49;73;6.04;0.00;0
2014-03-20;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;60;51;69;10.96;0.00;0
2014-03-21;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;55;49;65;7.16;0.00;0
2014-03-22;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;55;47;65;7.61;0.00;0
2014-03-23;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;55;49;64;7.83;0.00;0
2014-03-24;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;56;48;71;10.51;0.00;0
2014-03-25;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;48;62;7.61;0.09;0
2014-03-26;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;53;62;10.96;0.36;0
2014-03-27;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;54;65;7.83;0.00;0
2014-03-28;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;60;55;71;9.40;0.00;0
2014-03-29;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;60;53;60;10.74;0.57;1
2014-03-30;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;56;50;61;9.40;0.01;1
2014-03-31;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;54;49;57;9.17;0.49;1
2014-04-01;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;51;48;59;8.72;0.62;1
2014-04-02;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;51;47;61;8.72;0.36;1
2014-04-03;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;54;49;64;6.04;0.00;0
2014-04-04;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;56;51;60;11.18;0.22;1
2014-04-05;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;55;50;63;13.20;0.00;0
2014-04-06;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;59;50;74;6.93;0.00;0
2014-04-07;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;64;55;82;6.04;0.00;0
2014-04-08;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;65;55;78;9.17;0.00;0
2014-04-09;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;51;64;13.65;0.00;0
2014-04-10;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;56;48;72;8.50;0.00;0
2014-04-11;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;53;64;9.84;0.00;0
2014-04-12;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;51;67;7.61;0.00;0
2014-04-13;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;54;71;9.84;0.00;0
2014-04-14;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;52;68;11.63;0.00;8
2014-04-15;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;52;65;10.29;0.00;0
2014-04-16;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;59;52;73;11.86;0.00;8
2014-04-17;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;53;64;16.78;0.00;0
2014-04-18;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;52;63;13.87;0.00;0
2014-04-19;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;51;63;12.97;0.00;1
2014-04-20;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;59;51;79;9.84;0.00;0
2014-04-21;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;59;52;69;12.75;0.00;0
2014-04-22;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;52;63;22.82;0.04;1
2014-04-23;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;52;66;15.21;0.00;0
2014-04-24;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;59;55;67;10.96;0.00;0
2014-04-25;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;52;60;12.75;0.37;1
2014-04-26;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;54;49;62;14.76;0.00;0
2014-04-27;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;53;64;13.20;0.00;0
2014-04-28;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;52;69;11.41;0.00;0
2014-04-29;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;64;54;86;5.82;0.00;0
2014-04-30;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;71;60;90;4.47;0.00;0
2014-05-01;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;75;62;86;8.28;0.00;8
2014-05-02;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;66;54;73;13.65;0.00;0
2014-05-03;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;59;55;67;17.67;0.00;0
2014-05-04;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;61;57;68;12.30;0.00;0
2014-05-05;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;61;55;66;20.36;0.00;0
2014-05-06;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;52;67;19.01;0.00;0
2014-05-07;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;57;51;64;16.78;0.00;0
2014-05-08;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;54;65;10.74;0.00;1
2014-05-09;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;60;54;66;16.78;0.00;1
2014-05-10;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;52;67;20.58;0.00;0
2014-05-11;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;62;51;75;15.43;0.00;0
2014-05-12;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;63;52;84;7.83;0.00;0
2014-05-13;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;70;59;92;5.82;0.00;0
2014-05-14;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;75;63;91;7.83;0.00;0
2014-05-15;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;74;58;84;10.51;0.00;0
2014-05-16;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;63;55;72;16.55;0.00;0
2014-05-17;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;61;57;67;15.88;0.00;0
2014-05-18;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;61;57;68;20.58;0.00;0
2014-05-19;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;61;56;68;18.57;0.00;0
2014-05-20;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;62;56;71;13.87;0.00;0
2014-05-21;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;61;56;71;11.63;0.00;0
2014-05-22;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;61;54;70;12.30;0.00;0
2014-05-23;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;60;54;69;12.30;0.00;0
2014-05-24;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;61;55;67;15.66;0.00;0
2014-05-25;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;62;54;72;16.33;0.00;0
2014-05-26;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;62;56;72;21.70;0.00;0
2014-05-27;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;61;54;68;18.34;0.00;0
2014-05-28;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;61;53;72;16.55;0.00;0
2014-05-29;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;63;53;78;10.07;0.00;0
2014-05-30;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;52;65;13.87;0.00;0
2014-05-31;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;59;52;68;11.18;0.00;0
2014-06-01;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;52;72;11.18;0.00;0
2014-06-02;USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;58;52;67;9.84;0.00;0
